asv,1256-392-Ma-1,1256-393-Ma-2,1256-394-Ma-3,1256-395-Ma-4,1256-396-Ma-5,1256-397-Ma-6,1256-398-Ma-7,1256-399-Ma-8,1256-400-Ma-9,1256-401-Ma-10,1256-402-Ma-11,1256-403-Ma-12,1256-404-Ma-13,1256-405-Ma-14,1256-406-Ma-15,1256-407-Ma-16,1256-408-Ma-17,1256-409-Ma-18,1256-410-Ma-19,1256-411-Ma-20,1256-412-Ma-21,1256-413-Ma-22,1256-414-Ma-23,1256-415-Ma-24,1256-416-Ma-25,1256-417-Ma-26,1256-418-Ma-27,1256-419-Ma-28,1256-420-Ma-29,1256-421-Ma-30,1256-422-Ma-31,1256-423-Ma-32,1256-424-Ma-33,1256-425-Ma-34,1256-426-Ma-35,1256-427-Ma-36,1256-428-Ma-37,1256-429-Ma-38,1256-430-Ma-39,1256-431-Ma-40,1256-432-Ma-41,1256-433-Ma-42,1256-434-Ma-43,1256-435-Ma-44,1256-436-Ma-45,1256-437-Ma-46,1256-438-Ma-47,1256-439-Ma-48,1256-440-Ma-49,1256-441-Ma-50,1256-442-Ma-51,1256-443-Ma-52,1256-444-Ma-53,1256-445-Ma-54,1256-446-Ma-55,1256-447-Ma-56,1256-448-Ma-57,1256-449-Ma-58,1256-450-Ma-59,1256-451-Ma-60,1256-452-Ma-61,1256-453-Ma-62,1256-454-Ma-63,1256-455-Ma-64,1256-456-Ma-65,1256-457-Ma-66,1256-458-Ma-67,1256-459-Ma-68,1256-460-Ma-69,1256-461-Ma-70,1256-462-Ma-71,1256-463-Ma-72
asv0046,29,25,56,5,31,53,62,31,267,303,293,455,159,59,90,95,30,14,34,20,0,34,0,0,0,0,0,12,0,58,62,0,0,0,0,0,0,19,0,19,0,0,0,35,0,19,25,0,83,47,0,0,0,0,0,0,25,0,53,0,0,0,0,0,0,0,0,0,0,79,0,0
asv0047,25,45,41,8,14,37,60,26,302,347,246,433,128,72,108,73,29,0,22,0,0,0,83,0,0,0,0,31,0,0,0,0,0,0,0,0,0,38,0,22,0,41,0,0,49,11,18,53,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
asv0048,119,75,69,49,90,80,78,100,103,87,110,84,131,30,34,34,23,11,15,15,21,0,0,0,49,76,72,90,56,0,30,22,0,0,0,0,0,0,0,0,0,0,0,0,55,65,73,137,72,75,65,89,0,0,0,0,0,0,0,0,0,0,22,0,0,0,53,27,26,24,0,0
asv0049,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,302,253,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,349,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,353,340
asv0050,0,0,0,0,0,0,48,52,0,36,74,0,190,88,87,127,82,0,0,57,82,0,241,41,101,73,140,183,32,0,180,131,0,0,0,0,45,54,0,87,0,0,0,54,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,150,304,222,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,246
asv0052,64,49,61,64,81,84,60,87,91,65,62,45,108,48,37,24,41,14,9,19,17,0,0,0,35,85,58,82,60,0,37,32,0,0,0,0,0,0,0,0,0,0,0,0,69,63,56,111,68,82,83,82,0,0,0,0,0,0,0,0,0,0,16,0,0,0,50,21,17,32,0,0
asv0053,34,28,40,14,35,37,46,22,252,368,229,429,111,49,60,61,0,18,0,57,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,66,0,15,0,0,0,10,0,23,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
asv0054,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,147,282,219,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,228
asv0055,0,0,0,0,0,0,0,0,0,36,0,0,175,102,96,116,82,39,72,95,79,0,204,41,96,71,141,135,0,0,196,96,0,0,0,0,0,43,0,0,0,0,0,41,17,0,0,52,0,34,0,0,0,0,0,0,0,53,0,51,0,0,0,0,0,0,0,0,0,0,0,0
asv0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,271,230,440,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,233,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,269
asv0057,71,48,50,31,60,76,63,88,72,65,67,58,145,37,62,21,36,18,0,20,20,0,0,0,38,48,70,69,58,0,45,24,0,0,0,0,0,0,0,0,0,0,0,0,53,55,53,96,28,90,86,83,0,0,0,0,0,0,0,0,0,0,20,0,0,0,48,25,22,30,0,0
asv0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,250,205,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,317,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,263,280
asv0059,28,21,41,13,37,46,46,27,275,360,270,482,142,53,84,59,10,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,11,17,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0060,103,68,73,38,67,68,57,108,68,48,79,56,98,38,34,22,32,27,0,23,19,0,0,0,29,54,52,82,58,0,39,15,0,0,0,0,0,0,0,0,0,0,0,0,41,71,60,121,42,74,45,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,19,15,0,0
asv0061,67,43,54,44,84,64,73,90,88,58,76,46,121,40,46,19,30,16,15,14,9,0,0,0,33,60,58,77,48,0,36,28,0,0,0,0,0,0,0,0,0,0,0,0,41,38,48,91,69,66,64,62,0,0,0,0,0,0,0,0,0,0,17,0,0,0,60,0,15,23,0,0
asv0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,21,0,0,60,0,0,49,0,0,111,266,201,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,239,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,237,216
asv0063,78,44,42,39,57,52,60,79,96,61,59,64,113,26,32,14,14,0,22,16,17,0,0,0,44,51,57,84,53,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,50,48,61,119,61,54,76,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,25,24,28,0,0
asv0064,22,22,37,20,20,28,56,35,220,277,212,412,102,73,77,72,28,0,0,0,66,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,27,0,0,0,0,0,0,0,0,106,297,186,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,213
asv0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,225,144,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,101,225,206
asv0067,19,26,37,13,28,31,50,27,217,280,188,408,127,50,84,40,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,26,0,0,14,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0068,0,0,0,0,0,0,0,0,0,38,49,0,183,110,77,89,112,0,72,68,42,0,167,0,57,49,97,107,0,0,173,116,0,0,0,0,0,59,0,0,26,0,0,0,0,0,0,39,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
asv0069,0,0,0,0,0,0,0,0,49,46,21,0,216,84,88,78,65,80,0,29,72,0,186,7,58,54,95,111,45,0,183,89,0,0,0,0,0,76,0,0,0,0,0,22,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0070,0,0,0,0,0,0,24,40,0,28,37,0,193,53,57,119,96,21,21,0,56,0,169,40,79,69,116,122,0,0,190,83,0,0,0,0,0,38,0,60,0,0,0,29,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,52,0,0,38,0,0,0,0,0,88,219,155,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,202
asv0072,0,0,0,0,0,0,0,0,65,35,0,0,147,76,92,101,63,72,26,0,55,0,181,28,76,49,97,143,0,0,186,91,0,0,0,0,0,63,23,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,75,0,70,248,165,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,180
asv0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,244,177,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,250,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,222,206
asv0075,0,40,0,0,0,0,0,0,0,25,0,65,159,78,54,80,75,0,0,0,59,0,161,0,50,50,108,110,0,0,133,68,0,0,0,0,0,45,0,34,0,0,44,30,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,59,0
